"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1747","test_logout[chrome]","tests","Wed May 14 13:34:04 MSK 2025","passed","Wed May 14 13:34:06 MSK 2025","TestProfile","test_profile_page","",""
"","1954","test_enter_email_and_click_reset[chrome]","tests","Wed May 14 13:34:36 MSK 2025","passed","Wed May 14 13:34:38 MSK 2025","TestPasswordReset","test_recovery_password_page","",""
"","269","test_go_to_personal_cabinet[firefox]","tests","Wed May 14 13:33:23 MSK 2025","passed","Wed May 14 13:33:23 MSK 2025","TestProfile","test_profile_page","",""
"","744","test_place_order_logged_in[firefox]","tests","Wed May 14 13:32:50 MSK 2025","failed","Wed May 14 13:32:51 MSK 2025","TestOrderMainPage","test_main_page","",""
"","453","test_open_ingredient_details_modal[chrome]","tests","Wed May 14 13:32:24 MSK 2025","passed","Wed May 14 13:32:25 MSK 2025","TestMainPage","test_main_page","",""
"","739","test_go_to_order_history[chrome]","tests","Wed May 14 13:33:46 MSK 2025","passed","Wed May 14 13:33:47 MSK 2025","TestProfile","test_profile_page","",""
"","0","test_order_in_history_and_feed[firefox]","tests","Wed May 14 13:30:14 MSK 2025","failed","Wed May 14 13:30:14 MSK 2025","TestFeedPage","test_feed_page","",""
"","934","test_logged_user_make_order_Log_us[chrome]","tests","Wed May 14 13:33:11 MSK 2025","passed","Wed May 14 13:33:12 MSK 2025","TestOrderMainPage","test_main_page","",""
"","3831","test_completed_orders_counter[chrome]","tests","Wed May 14 13:30:51 MSK 2025","passed","Wed May 14 13:30:55 MSK 2025","TestFeedPage","test_feed_page","",""
"","449","test_show_password_button[firefox]","tests","Wed May 14 13:34:47 MSK 2025","broken","Wed May 14 13:34:48 MSK 2025","TestPasswordReset","test_recovery_password_page","",""
"","4226","test_completed_orders_counter[firefox]","tests","Wed May 14 13:30:41 MSK 2025","passed","Wed May 14 13:30:45 MSK 2025","TestFeedPage","test_feed_page","",""
"","256","test_click_constructor_button[firefox]","tests","Wed May 14 13:31:49 MSK 2025","broken","Wed May 14 13:31:49 MSK 2025","TestMainPage","test_main_page","",""
"","816","test_order_details_modal[chrome]","tests","Wed May 14 13:29:53 MSK 2025","passed","Wed May 14 13:29:53 MSK 2025","TestFeedPage","test_feed_page","",""
"","266","test_navigate_to_forgot_password[firefox]","tests","Wed May 14 13:34:16 MSK 2025","broken","Wed May 14 13:34:16 MSK 2025","TestPasswordReset","test_recovery_password_page","",""
"","0","test_order_in_progress[chrome]","tests","Wed May 14 13:31:38 MSK 2025","failed","Wed May 14 13:31:38 MSK 2025","TestFeedPage","test_feed_page","",""
"","0","test_logged_user_make_order_Log_us[firefox]","tests","Wed May 14 13:32:58 MSK 2025","failed","Wed May 14 13:32:58 MSK 2025","TestOrderMainPage","test_main_page","",""
"","471","test_click_feed_button[chrome]","tests","Wed May 14 13:32:09 MSK 2025","passed","Wed May 14 13:32:10 MSK 2025","TestMainPage","test_main_page","",""
"","806","test_order_details_modal_autoriz[chrome]","tests","Wed May 14 13:30:10 MSK 2025","passed","Wed May 14 13:30:11 MSK 2025","TestFeedPage","test_feed_page","",""
"","1085","test_order_details_modal[firefox]","tests","Wed May 14 13:29:46 MSK 2025","passed","Wed May 14 13:29:47 MSK 2025","TestFeedPage","test_feed_page","",""
"","1044","test_logout[firefox]","tests","Wed May 14 13:33:57 MSK 2025","passed","Wed May 14 13:33:58 MSK 2025","TestProfile","test_profile_page","",""
"","633","test_go_to_personal_cabinet[chrome]","tests","Wed May 14 13:33:29 MSK 2025","passed","Wed May 14 13:33:29 MSK 2025","TestProfile","test_profile_page","",""
"","220","test_close_ingredient_details_modal[firefox]","tests","Wed May 14 13:32:34 MSK 2025","broken","Wed May 14 13:32:35 MSK 2025","TestMainPage","test_main_page","",""
"","4378","test_order_in_history_and_feed[chrome]","tests","Wed May 14 13:30:27 MSK 2025","passed","Wed May 14 13:30:31 MSK 2025","TestFeedPage","test_feed_page","",""
"","1546","test_show_password_button[chrome]","tests","Wed May 14 13:34:53 MSK 2025","passed","Wed May 14 13:34:55 MSK 2025","TestPasswordReset","test_recovery_password_page","",""
"","367","test_enter_email_and_click_reset[firefox]","tests","Wed May 14 13:34:31 MSK 2025","broken","Wed May 14 13:34:31 MSK 2025","TestPasswordReset","test_recovery_password_page","",""
"","518","test_click_constructor_button[chrome]","tests","Wed May 14 13:31:54 MSK 2025","passed","Wed May 14 13:31:55 MSK 2025","TestMainPage","test_main_page","",""
"","3739","test_order_in_progress[firefox]","tests","Wed May 14 13:31:30 MSK 2025","failed","Wed May 14 13:31:34 MSK 2025","TestFeedPage","test_feed_page","",""
"","4022","test_today_orders_count_increases[chrome]","tests","Wed May 14 13:31:16 MSK 2025","passed","Wed May 14 13:31:20 MSK 2025","TestFeedPage","test_feed_page","",""
"","1061","test_close_ingredient_details_modal[chrome]","tests","Wed May 14 13:32:39 MSK 2025","passed","Wed May 14 13:32:41 MSK 2025","TestMainPage","test_main_page","",""
"","4710","test_today_orders_count_increases[firefox]","tests","Wed May 14 13:31:05 MSK 2025","passed","Wed May 14 13:31:10 MSK 2025","TestFeedPage","test_feed_page","",""
"","282","test_click_feed_button[firefox]","tests","Wed May 14 13:32:04 MSK 2025","broken","Wed May 14 13:32:04 MSK 2025","TestMainPage","test_main_page","",""
"","188","test_open_ingredient_details_modal[firefox]","tests","Wed May 14 13:32:19 MSK 2025","broken","Wed May 14 13:32:19 MSK 2025","TestMainPage","test_main_page","",""
"","431","test_navigate_to_forgot_password[chrome]","tests","Wed May 14 13:34:21 MSK 2025","passed","Wed May 14 13:34:21 MSK 2025","TestPasswordReset","test_recovery_password_page","",""
"","742","test_place_order_logged_in[chrome]","tests","Wed May 14 13:32:56 MSK 2025","passed","Wed May 14 13:32:56 MSK 2025","TestOrderMainPage","test_main_page","",""
"","1003","test_order_details_modal_autoriz[firefox]","tests","Wed May 14 13:30:03 MSK 2025","passed","Wed May 14 13:30:04 MSK 2025","TestFeedPage","test_feed_page","",""
"","565","test_go_to_order_history[firefox]","tests","Wed May 14 13:33:40 MSK 2025","passed","Wed May 14 13:33:40 MSK 2025","TestProfile","test_profile_page","",""
